id,codi_estacio,codi_variable,data_lectura,data_extrem,valor_lectura,codi_estat,codi_base
V4320101150000,V4,32,2015-01-01T00:00:00.000,,-2.8,V,SH
V4400101150000,V4,40,2015-01-01T00:00:00.000,2015-01-01T00:00:00.000,-2.6,V,SH
V4420101150000,V4,42,2015-01-01T00:00:00.000,2015-01-01T00:15:00.000,-2.9,V,SH
V4720101150000,V4,72,2015-01-01T00:00:00.000,2015-01-01T00:00:00.000,0.0,V,SH
V4440101150000,V4,44,2015-01-01T00:00:00.000,2015-01-01T00:07:00.000,80.0,V,SH
V4030101150000,V4,3,2015-01-01T00:00:00.000,2015-01-01T00:19:00.000,81.0,V,SH
V4350101150000,V4,35,2015-01-01T00:00:00.000,,0.0,V,SH
V4330101150000,V4,33,2015-01-01T00:00:00.000,,81.0,V,SH
V4440101150030,V4,44,2015-01-01T00:30:00.000,2015-01-01T00:39:00.000,79.0,V,SH
V4030101150030,V4,3,2015-01-01T00:30:00.000,2015-01-01T00:30:00.000,80.0,V,SH
V4350101150030,V4,35,2015-01-01T00:30:00.000,,0.0,V,SH
V4330101150030,V4,33,2015-01-01T00:30:00.000,,80.0,V,SH
V4320101150030,V4,32,2015-01-01T00:30:00.000,,-2.9,V,SH
V4400101150030,V4,40,2015-01-01T00:30:00.000,2015-01-01T00:33:00.000,-2.6,V,SH
V4420101150030,V4,42,2015-01-01T00:30:00.000,2015-01-01T00:58:00.000,-3.2,V,SH
V4720101150030,V4,72,2015-01-01T00:30:00.000,2015-01-01T00:30:00.000,0.0,V,SH
V4440101150100,V4,44,2015-01-01T01:00:00.000,2015-01-01T01:27:00.000,81.0,V,SH
V4030101150100,V4,3,2015-01-01T01:00:00.000,2015-01-01T01:11:00.000,81.0,V,SH
V4350101150100,V4,35,2015-01-01T01:00:00.000,,0.0,V,SH
V4330101150100,V4,33,2015-01-01T01:00:00.000,,81.0,V,SH
V4320101150100,V4,32,2015-01-01T01:00:00.000,,-3.1,V,SH
V4400101150100,V4,40,2015-01-01T01:00:00.000,2015-01-01T01:19:00.000,-3.0,V,SH
V4420101150100,V4,42,2015-01-01T01:00:00.000,2015-01-01T01:29:00.000,-3.2,V,SH
