codi_variable,nom_variable,unitat,acronim,codi_tipus_var,decimals
44,Humitat relativa mínima,%,HRn,DAT,0
40,Temperatura màxima,°C,Tx,DAT,1
46,Velocitat del vent a 2 m (esc.),m/s,VV2,DAT,1
32,Temperatura,°C,T,DAT,1
72,Precipitació màxima en 1 minut,mm,PPTx1min,DAT,1
51,Direcció de la ratxa màxima del vent a 10 m,°,DVVx10,DAT,0
3,Humitat relativa màxima,%,HRx,DAT,0
30,Velocitat del vent a 10 m (esc.),m/s,VV10,DAT,1
56,Ratxa màxima del vent a 2 m,m/s,VVx2,DAT,1
31,Direcció de vent 10 m (m. 1),°,DV10,DAT,0
1,Pressió atmosfèrica màxima,hPa,Px,DAT,1
42,Temperatura mínima,°C,Tn,DAT,1
2,Pressió atmosfèrica mínima,hPa,Pn,DAT,1
36,Irradiància solar global,W/m²,RS,DAT,0
38,Gruix de neu a terra,cm,GNEU,DAT,0
50,Ratxa màxima del vent a 10 m,m/s,VVx10,DAT,1
34,Pressió atmosfèrica,hPa,P,DAT,1
59,Irradiància neta,W/m²,RN,DAT,0
47,Direcció del vent a 2 m (m. 1),°,DV2,DAT,0
35,Precipitació,mm,PPT,DAT,1
48,Velocitat del vent a 6 m (esc.),m/s,VV6,DAT,1
53,Ratxa màxima del vent a 6 m,m/s,VVx6,DAT,1
49,Direcció del vent a 6 m (m. 1),°,DV6,DAT,0
33,Humitat relativa,%,HR,DAT,0
54,Direcció de la ratxa màxima del vent a 6 m,°,DVVx6,DAT,0
57,Direcció de la ratxa màxima del vent a 2 m,°,DVVx2,DAT,0
1515,Direcció de la ratxa màx. diària de vent 10 m,°,DVVX10,AD,0
1504,Velocitat mitjana diària del vent 6 m (esc.),m/s,VVM6,AD,1
1201,Pressió atmosfèrica màxima diària + hora,hPa,PX,AD,1
1401,Irradiació neta diària,MJ/m2,RN24h,AD,1
1000,Temperatura mitjana diària,°C,TM,AD,1
1002,Temperatura mínima diària + hora,°C,TN,AD,1
1511,Direcció mitjana diària del vent 2 m (m. 1),°,DVM2,AD,0
1509,Direcció mitjana diària del vent 10 m (m. 1),°,DVM10,AD,0
1601,Gruix de neu màxim diari + hora,cm,GNEUX,AD,0
1700,Evapotranspiració de referència,mm,ETo,AD,2
1513,Ratxa màxima diària del vent 6 m + hora,m/s,VVX6,AD,1
1302,Precipitació màxima en 1 min (diària) + hora,mm,PPTx1min,AD,1
1100,Humitat relativa mitjana diària,%,HRM,AD,0
1303,Precipitació màxima en 1 h (diària) + hora,mm,PPTx1h,AD,1
1400,Irradiació solar global diària,MJ/m2,RS24h,AD,1
1304,Precipitació màxima en 30 min (diària)+ hora,mm,PPTx30min,AD,1
1200,Pressió atmosfèrica mitjana diària,hPa,PM,AD,1
1600,Gruix de neu mitjà diari,cm,GNEUM,AD,0
1301,Precipitació acumulada diària (8-8 h),mm,PPTc,AD,1
1505,Velocitat mitjana diària del vent 2 m (esc.),m/s,VVM2,AD,1
1001,Temperatura màxima diària + hora,°C,TX,AD,1
1517,Direcció de la ratxa màx. diària de vent 2 m,°,DVVX2,AD,0
1503,Velocitat mitjana diària del vent 10 m (esc.),m/s,VVM10,AD,1
1510,Direcció mitjana diària del vent 6 m (m. 1),°,DVM6,AD,0
1512,Ratxa màxima diària del vent 10 m + hora,m/s,VVX10,AD,1
1514,Ratxa màxima diària del vent 2 m + hora,m/s,VVX2,AD,1
1003,Temperatura mitjana diària clàssica,°C,TMc,AD,1
1004,Amplitud tèrmica diària,°C,AT,AD,1
1603,Gruix de neu mínim diari + hora,cm,GNEUN,AD,0
1101,Humitat relativa màxima diària + data,%,HRX,AD,0
1300,Precipitació acumulada diària,mm,PPT,AD,1
1202,Pressió atmosfèrica mínima diària + hora,hPa,PN,AD,1
1602,Gruix de neu nova acumulada diària,cm,GNEU24h,AD,0
1516,Direcció de la ratxa màx. diària de vent 6 m,°,DVVX6,AD,0
1305,Precipitació màxima en 10 min (diària) + hora,mm,PPTx10min,AD,1
1102,Humitat relativa mínima diària + data,%,HRN,AD,0
